speedup 10000.00
duration 100000
DEBUG: 0.053665 customer 8 enters shop
DEBUG: 0.053666 customer 8 leaves shop
DEBUG: 0.056503 customer 2 enters shop
DEBUG: 0.056625 customer 2 leaves shop
DEBUG: 0.056758 customer 4 enters shop
DEBUG: 0.056764 customer 4 leaves shop
DEBUG: 0.056778 customer 8 enters shop
DEBUG: 0.056781 customer 8 leaves shop
DEBUG: 0.056791 customer 3 enters shop
DEBUG: 0.056794 customer 3 leaves shop
DEBUG: 0.059339 customer 8 enters shop
DEBUG: 0.059348 customer 8 leaves shop
DEBUG: 0.059356 customer 4 enters shop
DEBUG: 0.059357 customer 4 leaves shop
DEBUG: 0.059360 customer 3 enters shop
DEBUG: 0.059361 customer 3 leaves shop
DEBUG: 0.059364 customer 2 enters shop
DEBUG: 0.059364 customer 2 leaves shop
DEBUG: 0.061871 customer 3 enters shop
DEBUG: 0.061879 customer 3 leaves shop
DEBUG: 0.061885 customer 4 enters shop
DEBUG: 0.061886 customer 4 leaves shop
DEBUG: 0.061889 customer 8 enters shop
DEBUG: 0.061890 customer 8 leaves shop
DEBUG: 0.061893 customer 2 enters shop
DEBUG: 0.061894 customer 2 leaves shop
DEBUG: 0.064416 customer 4 enters shop
DEBUG: 0.064425 customer 4 leaves shop
DEBUG: 0.064435 customer 3 enters shop
DEBUG: 0.064436 customer 3 leaves shop
DEBUG: 0.064440 customer 8 enters shop
DEBUG: 0.064441 customer 8 leaves shop
DEBUG: 0.064446 customer 2 enters shop
DEBUG: 0.064448 customer 2 leaves shop
DEBUG: 0.067522 customer 8 enters shop
DEBUG: 0.067534 customer 8 leaves shop
DEBUG: 0.067546 customer 2 enters shop
DEBUG: 0.067548 customer 2 leaves shop
DEBUG: 0.070441 customer 4 enters shop
DEBUG: 0.070456 customer 4 leaves shop
DEBUG: 0.070471 customer 8 enters shop
DEBUG: 0.070473 customer 8 leaves shop
DEBUG: 0.071247 customer 2 enters shop
DEBUG: 0.071255 customer 2 leaves shop
DEBUG: 0.073005 customer 3 enters shop
DEBUG: 0.073014 customer 3 leaves shop
DEBUG: 0.073024 customer 4 enters shop
DEBUG: 0.073025 customer 4 leaves shop
DEBUG: 0.073028 customer 8 enters shop
DEBUG: 0.073029 customer 8 leaves shop
DEBUG: 0.074057 customer 2 enters shop
DEBUG: 0.074067 customer 2 leaves shop
DEBUG: 0.076160 customer 3 enters shop
DEBUG: 0.076164 customer 3 leaves shop
DEBUG: 0.076172 customer 4 enters shop
DEBUG: 0.076173 customer 4 leaves shop
DEBUG: 0.076176 customer 8 enters shop
DEBUG: 0.076177 customer 8 leaves shop
DEBUG: 0.076179 customer 2 enters shop
DEBUG: 0.076180 customer 2 leaves shop
DEBUG: 0.078319 customer 3 enters shop
DEBUG: 0.078324 customer 3 leaves shop
DEBUG: 0.078331 customer 4 enters shop
DEBUG: 0.078332 customer 4 leaves shop
DEBUG: 0.078336 customer 8 enters shop
DEBUG: 0.078338 customer 8 leaves shop
DEBUG: 0.078340 customer 2 enters shop
DEBUG: 0.078341 customer 2 leaves shop
DEBUG: 0.081430 customer 3 enters shop
DEBUG: 0.081450 customer 3 leaves shop
DEBUG: 0.081505 customer 8 enters shop
DEBUG: 0.081507 customer 8 leaves shop
DEBUG: 0.081511 customer 4 enters shop
DEBUG: 0.081511 customer 4 leaves shop
DEBUG: 0.081514 customer 2 enters shop
DEBUG: 0.081514 customer 2 leaves shop
DEBUG: 0.084456 customer 4 enters shop
DEBUG: 0.084459 customer 4 leaves shop
DEBUG: 0.084463 customer 8 enters shop
DEBUG: 0.084464 customer 8 leaves shop
DEBUG: 0.084468 customer 3 enters shop
DEBUG: 0.084469 customer 3 leaves shop
DEBUG: 0.084471 customer 2 enters shop
DEBUG: 0.084472 customer 2 leaves shop
DEBUG: 0.086732 customer 8 enters shop
DEBUG: 0.086750 customer 8 leaves shop
DEBUG: 0.086765 customer 3 enters shop
DEBUG: 0.086768 customer 3 leaves shop
DEBUG: 0.086773 customer 2 enters shop
DEBUG: 0.086774 customer 2 leaves shop
DEBUG: 0.088857 customer 4 enters shop
DEBUG: 0.088874 customer 4 leaves shop
DEBUG: 0.088889 customer 3 enters shop
DEBUG: 0.088890 customer 3 leaves shop
DEBUG: 0.088895 customer 8 enters shop
DEBUG: 0.088896 customer 8 leaves shop
DEBUG: 0.088900 customer 2 enters shop
DEBUG: 0.088902 customer 2 leaves shop
DEBUG: 0.092043 customer 3 enters shop
DEBUG: 0.092088 customer 3 leaves shop
DEBUG: 0.092123 customer 4 enters shop
DEBUG: 0.092125 customer 4 leaves shop
DEBUG: 0.092132 customer 8 enters shop
DEBUG: 0.092134 customer 8 leaves shop
DEBUG: 0.092139 customer 2 enters shop
DEBUG: 0.092141 customer 2 leaves shop
DEBUG: 0.094985 customer 8 enters shop
DEBUG: 0.095006 customer 8 leaves shop
DEBUG: 0.095027 customer 4 enters shop
DEBUG: 0.095028 customer 4 leaves shop
DEBUG: 0.095034 customer 3 enters shop
DEBUG: 0.095036 customer 3 leaves shop
DEBUG: 0.095041 customer 2 enters shop
DEBUG: 0.095043 customer 2 leaves shop
DEBUG: 0.098200 customer 4 enters shop
DEBUG: 0.098211 customer 4 leaves shop
DEBUG: 0.098228 customer 3 enters shop
DEBUG: 0.098230 customer 3 leaves shop
DEBUG: 0.098235 customer 2 enters shop
DEBUG: 0.098237 customer 2 leaves shop
DEBUG: 0.099247 customer 8 enters shop
DEBUG: 0.099259 customer 8 leaves shop
DEBUG: 0.101394 customer 4 enters shop
DEBUG: 0.101402 customer 4 leaves shop
DEBUG: 0.101408 customer 3 enters shop
DEBUG: 0.101410 customer 3 leaves shop
DEBUG: 0.101413 customer 8 enters shop
DEBUG: 0.101414 customer 8 leaves shop
DEBUG: 0.101417 customer 2 enters shop
DEBUG: 0.101418 customer 2 leaves shop
DEBUG: 0.103539 customer 4 enters shop
DEBUG: 0.103548 customer 4 leaves shop
DEBUG: 0.103560 customer 3 enters shop
DEBUG: 0.103562 customer 3 leaves shop
DEBUG: 0.103565 customer 8 enters shop
DEBUG: 0.103566 customer 8 leaves shop
DEBUG: 0.103569 customer 2 enters shop
DEBUG: 0.103570 customer 2 leaves shop
DEBUG: 0.106287 customer 3 enters shop
DEBUG: 0.106296 customer 3 leaves shop
DEBUG: 0.106306 customer 4 enters shop
DEBUG: 0.106308 customer 4 leaves shop
DEBUG: 0.106312 customer 8 enters shop
DEBUG: 0.106313 customer 8 leaves shop
DEBUG: 0.106316 customer 2 enters shop
DEBUG: 0.106318 customer 2 leaves shop
DEBUG: 0.109675 customer 4 enters shop
DEBUG: 0.109710 customer 4 leaves shop
DEBUG: 0.109738 customer 8 enters shop
DEBUG: 0.109740 customer 8 leaves shop
DEBUG: 0.109748 customer 3 enters shop
DEBUG: 0.109751 customer 3 leaves shop
DEBUG: 0.109757 customer 2 enters shop
DEBUG: 0.109758 customer 2 leaves shop
DEBUG: 0.112505 customer 3 enters shop
DEBUG: 0.112514 customer 3 leaves shop
DEBUG: 0.112524 customer 8 enters shop
DEBUG: 0.112525 customer 8 leaves shop
DEBUG: 0.112528 customer 2 enters shop
DEBUG: 0.112530 customer 2 leaves shop
DEBUG: 0.114676 customer 8 enters shop
DEBUG: 0.114685 customer 8 leaves shop
DEBUG: 0.114697 customer 3 enters shop
DEBUG: 0.114698 customer 3 leaves shop
DEBUG: 0.114702 customer 2 enters shop
DEBUG: 0.114703 customer 2 leaves shop
DEBUG: 0.114706 customer 4 enters shop
DEBUG: 0.114707 customer 4 leaves shop
DEBUG: 0.116843 customer 2 enters shop
DEBUG: 0.116854 customer 2 leaves shop
DEBUG: 0.116868 customer 8 enters shop
DEBUG: 0.116870 customer 8 leaves shop
DEBUG: 0.118889 customer 3 enters shop
DEBUG: 0.118896 customer 3 leaves shop
DEBUG: 0.118975 customer 4 enters shop
DEBUG: 0.118977 customer 4 leaves shop
DEBUG: 0.118980 customer 2 enters shop
DEBUG: 0.118981 customer 2 leaves shop
DEBUG: 0.119001 customer 8 enters shop
DEBUG: 0.119002 customer 8 leaves shop
DEBUG: 0.122187 customer 8 enters shop
DEBUG: 0.122190 customer 8 leaves shop
DEBUG: 0.122196 customer 3 enters shop
DEBUG: 0.122197 customer 3 leaves shop
DEBUG: 0.122199 customer 4 enters shop
DEBUG: 0.122200 customer 4 leaves shop
DEBUG: 0.122202 customer 2 enters shop
DEBUG: 0.122203 customer 2 leaves shop
DEBUG: 0.124391 customer 3 enters shop
DEBUG: 0.124422 customer 3 leaves shop
DEBUG: 0.124451 customer 8 enters shop
DEBUG: 0.124452 customer 8 leaves shop
DEBUG: 0.124458 customer 4 enters shop
DEBUG: 0.124462 customer 4 leaves shop
DEBUG: 0.124470 customer 2 enters shop
DEBUG: 0.124473 customer 2 leaves shop
DEBUG: 0.127580 customer 4 enters shop
DEBUG: 0.127584 customer 4 leaves shop
DEBUG: 0.127591 customer 8 enters shop
DEBUG: 0.127592 customer 8 leaves shop
DEBUG: 0.127595 customer 2 enters shop
DEBUG: 0.127595 customer 2 leaves shop
DEBUG: 0.127598 customer 3 enters shop
DEBUG: 0.127599 customer 3 leaves shop
DEBUG: 0.130273 customer 2 enters shop
DEBUG: 0.130277 customer 2 leaves shop
DEBUG: 0.130292 customer 8 enters shop
DEBUG: 0.130293 customer 8 leaves shop
DEBUG: 0.130295 customer 4 enters shop
DEBUG: 0.130296 customer 4 leaves shop
DEBUG: 0.130298 customer 3 enters shop
DEBUG: 0.130299 customer 3 leaves shop
DEBUG: 0.133400 customer 4 enters shop
DEBUG: 0.133404 customer 4 leaves shop
DEBUG: 0.133409 customer 2 enters shop
DEBUG: 0.133410 customer 2 leaves shop
DEBUG: 0.133413 customer 8 enters shop
DEBUG: 0.133413 customer 8 leaves shop
DEBUG: 0.133416 customer 3 enters shop
DEBUG: 0.133416 customer 3 leaves shop
DEBUG: 0.136291 customer 8 enters shop
DEBUG: 0.136300 customer 8 leaves shop
DEBUG: 0.136312 customer 2 enters shop
DEBUG: 0.136313 customer 2 leaves shop
DEBUG: 0.136317 customer 4 enters shop
DEBUG: 0.136318 customer 4 leaves shop
DEBUG: 0.136321 customer 3 enters shop
DEBUG: 0.136323 customer 3 leaves shop
DEBUG: 0.139462 customer 2 enters shop
DEBUG: 0.139471 customer 2 leaves shop
DEBUG: 0.139481 customer 4 enters shop
DEBUG: 0.139483 customer 4 leaves shop
DEBUG: 0.139487 customer 3 enters shop
DEBUG: 0.139488 customer 3 leaves shop
DEBUG: 0.139491 customer 8 enters shop
DEBUG: 0.139492 customer 8 leaves shop
DEBUG: 0.142630 customer 4 enters shop
DEBUG: 0.142633 customer 4 leaves shop
DEBUG: 0.142637 customer 3 enters shop
DEBUG: 0.142638 customer 3 leaves shop
DEBUG: 0.142641 customer 2 enters shop
DEBUG: 0.142641 customer 2 leaves shop
DEBUG: 0.142644 customer 8 enters shop
DEBUG: 0.142644 customer 8 leaves shop
DEBUG: 0.145001 customer 4 enters shop
DEBUG: 0.145013 customer 4 leaves shop
DEBUG: 0.145028 customer 3 enters shop
DEBUG: 0.145031 customer 3 leaves shop
DEBUG: 0.145038 customer 2 enters shop
DEBUG: 0.145040 customer 2 leaves shop
DEBUG: 0.145915 customer 8 enters shop
DEBUG: 0.145921 customer 8 leaves shop
DEBUG: 0.148128 customer 2 enters shop
DEBUG: 0.148137 customer 2 leaves shop
DEBUG: 0.148151 customer 3 enters shop
DEBUG: 0.148152 customer 3 leaves shop
DEBUG: 0.148156 customer 4 enters shop
DEBUG: 0.148157 customer 4 leaves shop
DEBUG: 0.148161 customer 8 enters shop
DEBUG: 0.148162 customer 8 leaves shop
DEBUG: 0.151360 customer 3 enters shop
DEBUG: 0.151369 customer 3 leaves shop
DEBUG: 0.151381 customer 4 enters shop
DEBUG: 0.151383 customer 4 leaves shop
DEBUG: 0.151386 customer 8 enters shop
DEBUG: 0.151387 customer 8 leaves shop
DEBUG: 0.151390 customer 2 enters shop
DEBUG: 0.151391 customer 2 leaves shop
DEBUG: 0.154560 customer 4 enters shop
DEBUG: 0.154571 customer 4 leaves shop
DEBUG: 0.154582 customer 8 enters shop
DEBUG: 0.154583 customer 8 leaves shop
DEBUG: 0.154597 customer 2 enters shop
DEBUG: 0.154598 customer 2 leaves shop
DEBUG: 0.154602 customer 3 enters shop
DEBUG: 0.154603 customer 3 leaves shop
DEBUG: 0.156727 customer 8 enters shop
DEBUG: 0.156741 customer 8 leaves shop
DEBUG: 0.156764 customer 4 enters shop
DEBUG: 0.156891 customer 4 leaves shop
DEBUG: 0.158763 customer 2 enters shop
DEBUG: 0.158770 customer 2 leaves shop
DEBUG: 0.159692 customer 3 enters shop
DEBUG: 0.159696 customer 3 leaves shop
DEBUG: 0.159701 customer 8 enters shop
DEBUG: 0.159702 customer 8 leaves shop
DEBUG: 0.159705 customer 4 enters shop
DEBUG: 0.159706 customer 4 leaves shop
DEBUG: 0.160938 customer 2 enters shop
DEBUG: 0.160944 customer 2 leaves shop
DEBUG: 0.162069 customer 3 enters shop
DEBUG: 0.162073 customer 3 leaves shop
DEBUG: 0.162078 customer 8 enters shop
DEBUG: 0.162079 customer 8 leaves shop
DEBUG: 0.162082 customer 4 enters shop
DEBUG: 0.162083 customer 4 leaves shop
DEBUG: 0.163142 customer 2 enters shop
DEBUG: 0.163150 customer 2 leaves shop
DEBUG: 0.164242 customer 3 enters shop
DEBUG: 0.164250 customer 3 leaves shop
DEBUG: 0.164260 customer 8 enters shop
DEBUG: 0.164261 customer 8 leaves shop
DEBUG: 0.164264 customer 4 enters shop
DEBUG: 0.164265 customer 4 leaves shop
DEBUG: 0.165327 customer 2 enters shop
DEBUG: 0.165338 customer 2 leaves shop
DEBUG: 0.166414 customer 3 enters shop
DEBUG: 0.166425 customer 3 leaves shop
DEBUG: 0.166438 customer 4 enters shop
DEBUG: 0.166440 customer 4 leaves shop
DEBUG: 0.167490 customer 8 enters shop
DEBUG: 0.167498 customer 8 leaves shop
DEBUG: 0.167508 customer 2 enters shop
DEBUG: 0.167509 customer 2 leaves shop
DEBUG: 0.169731 customer 3 enters shop
DEBUG: 0.169740 customer 3 leaves shop
DEBUG: 0.169748 customer 8 enters shop
DEBUG: 0.169749 customer 8 leaves shop
DEBUG: 0.169752 customer 4 enters shop
DEBUG: 0.169754 customer 4 leaves shop
DEBUG: 0.169757 customer 2 enters shop
DEBUG: 0.169758 customer 2 leaves shop
DEBUG: 0.172219 customer 8 enters shop
DEBUG: 0.172227 customer 8 leaves shop
DEBUG: 0.172233 customer 3 enters shop
DEBUG: 0.172234 customer 3 leaves shop
DEBUG: 0.172236 customer 2 enters shop
DEBUG: 0.172237 customer 2 leaves shop
DEBUG: 0.173922 customer 4 enters shop
DEBUG: 0.173930 customer 4 leaves shop
DEBUG: 0.175031 customer 3 enters shop
DEBUG: 0.175039 customer 3 leaves shop
DEBUG: 0.175049 customer 8 enters shop
DEBUG: 0.175051 customer 8 leaves shop
DEBUG: 0.175054 customer 2 enters shop
DEBUG: 0.175055 customer 2 leaves shop
DEBUG: 0.176109 customer 4 enters shop
DEBUG: 0.176118 customer 4 leaves shop
DEBUG: 0.178244 customer 8 enters shop
DEBUG: 0.178252 customer 8 leaves shop
DEBUG: 0.178262 customer 3 enters shop
DEBUG: 0.178264 customer 3 leaves shop
DEBUG: 0.178268 customer 4 enters shop
DEBUG: 0.178269 customer 4 leaves shop
DEBUG: 0.180393 customer 2 enters shop
DEBUG: 0.180402 customer 2 leaves shop
DEBUG: 0.180412 customer 3 enters shop
DEBUG: 0.180414 customer 3 leaves shop
DEBUG: 0.180418 customer 8 enters shop
DEBUG: 0.180419 customer 8 leaves shop
DEBUG: 0.181448 customer 4 enters shop
DEBUG: 0.181456 customer 4 leaves shop
DEBUG: 0.182614 customer 3 enters shop
DEBUG: 0.182622 customer 3 leaves shop
DEBUG: 0.182629 customer 8 enters shop
DEBUG: 0.182630 customer 8 leaves shop
DEBUG: 0.185762 customer 2 enters shop
DEBUG: 0.185770 customer 2 leaves shop
DEBUG: 0.185780 customer 3 enters shop
DEBUG: 0.185782 customer 3 leaves shop
DEBUG: 0.185785 customer 8 enters shop
DEBUG: 0.185787 customer 8 leaves shop
DEBUG: 0.185790 customer 4 enters shop
DEBUG: 0.185791 customer 4 leaves shop
DEBUG: 0.187928 customer 3 enters shop
DEBUG: 0.187939 customer 3 leaves shop
DEBUG: 0.187951 customer 2 enters shop
DEBUG: 0.187952 customer 2 leaves shop
DEBUG: 0.189001 customer 8 enters shop
DEBUG: 0.189009 customer 8 leaves shop
DEBUG: 0.189019 customer 4 enters shop
DEBUG: 0.189020 customer 4 leaves shop
DEBUG: 0.191271 customer 2 enters shop
DEBUG: 0.191286 customer 2 leaves shop
DEBUG: 0.191308 customer 8 enters shop
DEBUG: 0.191311 customer 8 leaves shop
DEBUG: 0.191318 customer 4 enters shop
DEBUG: 0.191321 customer 4 leaves shop
DEBUG: 0.194371 customer 3 enters shop
DEBUG: 0.194389 customer 3 leaves shop
DEBUG: 0.194410 customer 8 enters shop
DEBUG: 0.194412 customer 8 leaves shop
DEBUG: 0.194418 customer 4 enters shop
DEBUG: 0.194419 customer 4 leaves shop
DEBUG: 0.194509 customer 2 enters shop
DEBUG: 0.194511 customer 2 leaves shop
DEBUG: 0.197116 customer 8 enters shop
DEBUG: 0.197124 customer 8 leaves shop
DEBUG: 0.197131 customer 4 enters shop
DEBUG: 0.197133 customer 4 leaves shop
DEBUG: 0.197136 customer 2 enters shop
DEBUG: 0.197137 customer 2 leaves shop
DEBUG: 0.197141 customer 3 enters shop
DEBUG: 0.197142 customer 3 leaves shop
DEBUG: 0.200191 customer 8 enters shop
DEBUG: 0.200199 customer 8 leaves shop
DEBUG: 0.200209 customer 4 enters shop
